	TRACK_SPEED_GT_10MUS	TRACK_SPEED_LT_10MUS
0	113	1
1	147	13
2	163	14
3	173	35
4	184	44
5	212	50
6	234	106
7	259	108
8	269	307
9	313	328
10	319	335
11	323	343
12	325	361
13	326	378
14	333	379
15	344	381
16	382	427
17	475	468
18	483	519
19	489	522
20	503	570
21	544	642
22	577	674
23	660	694
24	671	755
25	675	779
26	710	811
27	721	817
28	723	854
29	747	893
30	756	904
31	759	905
32	777	951
33	791	987
34	856	998
35	880	1041
36	889	1045
37	973	1068
38	1001	1094
39	1032	1111
40	1037	1137
41	1046	1142
42	1102	1158
43	1170	1190
44	1175	1205
45	1194	1232
46	1233	1249
47	1283	1261
48	1337	1291
49	1354	1331
50	1391	1339
51	1466	1342
52	1471	1350
53	1610	1367
54	1621	1372
55	1623	1394
56	1658	1397
57	1702	1417
58	1717	1486
59	1738	1531
60	1779	1536
61	1795	1562
62	1814	1618
63	1874	1625
64	1936	1632
65	1961	1643
66	1999	1678
67	2019	1719
68	2069	1742
69	2073	1767
70	2105	1770
71	2198	1776
72	2202	1822
73	2236	1829
74	2244	1831
75	2291	1839
76	2309	1853
77	2321	1860
78	2344	1906
79	2357	1925
80	2374	1931
81	2376	2003
82	2449	2022
83	2501	2048
84	2535	2087
85	2536	2195
86	2539	2207
87	2540	2213
88	2560	2216
89	2572	2410
90	2577	2444
91	2640	2546
92	2682	2554
93	2691	2596
94	2735	2620
95	2753	2659
96	2771	2676
97	2828	2767
98	2876	2796
99	2891	2845
