	TRACK_SPEED_GT_10MUS	TRACK_SPEED_LT_10MUS
0	66	10
1	139	29
2	161	33
3	166	40
4	181	56
5	210	62
6	236	108
7	255	119
8	277	312
9	315	328
10	318	335
11	323	340
12	325	351
13	326	378
14	333	379
15	341	381
16	382	430
17	475	464
18	484	519
19	489	522
20	501	568
21	545	644
22	579	665
23	660	683
24	667	755
25	679	781
26	711	811
27	721	817
28	723	851
29	747	893
30	756	900
31	759	901
32	777	949
33	791	980
34	854	994
35	880	1036
36	889	1044
37	977	1068
38	1002	1090
39	1031	1118
40	1035	1130
41	1049	1142
42	1102	1158
43	1170	1192
44	1178	1201
45	1194	1228
46	1231	1246
47	1283	1264
48	1339	1291
49	1352	1331
50	1391	1335
51	1466	1345
52	1471	1348
53	1610	1369
54	1621	1372
55	1623	1394
56	1659	1397
57	1702	1417
58	1717	1486
59	1738	1531
60	1779	1536
61	1794	1566
62	1814	1618
63	1879	1625
64	1936	1632
65	1961	1643
66	1999	1682
67	2020	1719
68	2069	1742
69	2073	1767
70	2105	1770
71	2199	1776
72	2206	1822
73	2236	1829
74	2244	1831
75	2291	1836
76	2309	1854
77	2321	1861
78	2344	1906
79	2352	1925
80	2372	1931
81	2375	2003
82	2444	2023
83	2501	2043
84	2532	2087
85	2533	2195
86	2536	2209
87	2537	2218
88	2560	2221
89	2572	2410
90	2581	2449
91	2640	2546
92	2682	2554
93	2688	2600
94	2735	2620
95	2753	2655
96	2771	2684
97	2828	2767
98	2876	2796
99	2886	2845
