	TRACK_SPEED_GT_10MUS	TRACK_SPEED_LT_10MUS
0	103	0
1	142	12
2	158	14
3	174	35
4	182	59
5	212	61
6	233	100
7	255	104
8	269	310
9	313	330
10	319	339
11	323	342
12	324	361
13	326	372
14	334	380
15	343	385
16	376	427
17	473	464
18	484	519
19	489	522
20	505	568
21	545	644
22	579	665
23	660	683
24	667	755
25	679	781
26	711	811
27	724	817
28	726	847
29	747	899
30	756	900
31	759	901
32	777	949
33	791	987
34	850	998
35	878	1041
36	882	1045
37	973	1075
38	1001	1093
39	1032	1113
40	1037	1137
41	1047	1140
42	1104	1158
43	1170	1192
44	1178	1201
45	1194	1232
46	1233	1249
47	1283	1265
48	1339	1291
49	1352	1331
50	1391	1335
51	1466	1345
52	1471	1348
53	1610	1369
54	1621	1372
55	1623	1394
56	1659	1397
57	1702	1417
58	1717	1486
59	1738	1531
60	1778	1536
61	1795	1566
62	1814	1618
63	1879	1625
64	1936	1632
65	1961	1643
66	2002	1682
67	2019	1719
68	2069	1742
69	2073	1767
70	2105	1770
71	2199	1775
72	2207	1822
73	2236	1829
74	2244	1831
75	2291	1836
76	2309	1854
77	2319	1861
78	2344	1906
79	2352	1925
80	2372	1931
81	2376	2000
82	2444	2022
83	2501	2048
84	2532	2079
85	2533	2191
86	2537	2208
87	2538	2213
88	2560	2216
89	2572	2410
90	2588	2449
91	2640	2545
92	2682	2554
93	2691	2596
94	2735	2625
95	2753	2660
96	2771	2676
97	2826	2767
98	2872	2800
99	2887	2849
